Set 1,Set 2,Set 3,Set 4,Set 5,Set 6,Set 7,Set 8,Set 9,Set 10,Date
5,4,3,2,1,0,0,0,0,0,12/04/2020
5,4,3,2,2,0,0,0,0,0,13/04/2020
5,4,3,3,2,0,0,0,0,0,14/04/2020
5,4,3,3,3,0,0,0,0,0,15/04/2020
6,5,4,3,3,0,0,0,0,0,18/04/2020
6,5,4,4,3,0,0,0,0,0,19/04/2020
6,5,5,4,3,10,0,0,0,0,20/04/2020
7,6,5,4,4,3,0,0,0,0,21/04/2020
8,7,6,5,4,4,0,0,0,0,22/04/2020
8,7,6,5,5,4,0,0,0,0,23/04/2020
8,7,6,6,6,5,4,0,0,0,25/04/2020
8,7,6,6,6,5,4,3,0,0,26/04/2020
8,7,6,6,6,4,0,0,0,0,28/04/2020
10,10,10,6,7,0,0,0,0,0,29/04/2020
10,10,10,8,7,6,0,0,0,0,30/04/2020
